バージョン,タイトル,ジャンル,アーティスト,プレー回数,BEGINNER 難易度,BEGINNER スコア,BEGINNER PGreat,BEGINNER Great,BEGINNER ミスカウント,BEGINNER クリアタイプ,BEGINNER DJ LEVEL,NORMAL 難易度,NORMAL スコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER スコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER スコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,LEGGENDARIA 難易度,LEGGENDARIA スコア,LEGGENDARIA PGreat,LEGGENDARIA Great,LEGGENDARIA ミスカウント,LEGGENDARIA クリアタイプ,LEGGENDARIA DJ LEVEL,最終プレー日時
1st&substream,PARANOIA MAX～DIRTY MIX～,JUNGLE,190,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,1121,559,3,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-10 11:35
1st&substream,R3,RAVE,tiger YAMATO,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,6,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,9,1098,542,14,0,FULLCOMBO CLEAR,AAA,11,0,0,0,---,FULLCOMBO CLEAR,---,2024-06-13 12:45
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,5,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,8,1162,581,0,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-07-26 15:18
2nd style,.59,CHILL OUT,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
2nd style,I Was The One,ITALO HOUSE,good-cool,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,2,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,1226,609,8,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-03-07 13:11
2nd style,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
2nd style,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
3rd style,CAN'T STOP FALLIN'IN LOVE,HYPER EUROBEAT,NAOKI,6,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,1257,625,7,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-06-23 14:16
3rd style,Don't Stop!,HAPPY HANDBAG,dj TAKA feat. JP Miles,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
3rd style,era (nostalmix),DRUM'N'BASS,TaQ,11,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,9,1558,773,12,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-03-27 21:08
3rd style,Holic,HARD TECHNO,TaQ,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
3rd style,LEADING CYBER,DIGI-ROCK,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
3rd style,Presto,PIANO AMBIENT,Osamu Kubota,3,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,8,1014,506,2,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-10 11:45
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
3rd style,REINCARNATION,TRANCE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
3rd style,Schlagwerk,BIG BEAT,TaQ,3,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,1694,846,2,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-02-09 23:25
3rd style,Skyscraper,EPIC HOUSE,good-cool,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
3rd style,Tangerine Stream,AMBIENT,dj TAKA,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,0,2,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
4th style,250bpm,GABBA,AKIRA YAMAOKA,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
4th style,ABSOLUTE,EPIC TRANCE,dj TAKA,14,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,10,2418,1200,18,0,FULLCOMBO CLEAR,AAA,11,0,0,0,---,FULLCOMBO CLEAR,---,2024-05-15 13:05
4th style,B4U,SPEED RAVE,NAOKI,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,10,2016,1002,12,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-23 14:18
4th style,Broken My Heart,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,8,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1823,909,5,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-07-16 19:02
4th style,Burnin' The Floor,EURO GROOVE,NAOKI,7,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,1442,721,0,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2023-11-30 22:50
4th style,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,1,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,EASY CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,11,1308,624,60,2,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-23 16:33
4th style,Clione,DUTCH TRANCE,kors k,2,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,9,1620,809,2,0,FULLCOMBO CLEAR,AAA,11,2160,1064,32,9,EX HARD CLEAR,AAA,2024-06-26 20:03
4th style,DXY!,TECHNO,TaQ,12,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,10,2257,1105,47,6,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-21 23:14
4th style,empathy,DRUM'N'BASS,TaQ,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
4th style,era (step mix),DRUM'N'BASS,TaQ,14,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,9,1734,861,12,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-05-08 14:26
4th style,FLOWERS for ALBION,AMBIENT,dj TAKA,1,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,NO PLAY,---,5,444,222,0,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-03-27 21:13
4th style,HIGHER,DANCE POP,NM feat. Sunny,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
4th style,Hitch Hiker2,WARP HOUSE,good-cool,4,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,9,1946,970,6,1,FULLCOMBO CLEAR,AAA,2024-07-16 12:44
4th style,Jam&Marmalade,WARP HOUSE,FinalOffset,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,1023,511,1,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-10 10:58
4th style,KAMIKAZE,TECHNO,dj nagureo,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,10,2305,1148,9,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-03-23 23:12
4th style,LOVE WILL・・・,TRANCE,riewo,16,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,EASY CLEAR,---,7,1463,731,1,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-07-04 21:33
4th style,minimalian,MINIMAL,DETROIAN,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,1408,702,4,2,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-13 11:16
4th style,Mr.T.(take me higher),DANCE POP,Risky Men  feat.Asuka-M,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
4th style,starmine,HAPPY HARDCORE,Ryu☆,5,2,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,9,1595,795,5,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2023-12-02 15:07
4th style,SWEET LAB,LOUNGE HOUSE,DJ SIMON,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,EASY CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
4th style,Voltage (feat. Hidemaru),BIG BEAT,TaQ,19,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,8,1328,658,12,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2023-12-30 22:49
5th style,Abyss,INTELLIGENCE,dj TAKA,9,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,8,1886,941,4,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-07-16 12:52
5th style,in my eyes,TRANCE,ric,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
5th style,outer wall,TECHNO,sampling masters MEGA,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,HARD CLEAR,---,8,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
5th style,QQQ,TECHNO,TaQ,5,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,10,2175,1085,5,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-04-07 19:26
5th style,Radical Faith,BIG BEAT,TaQ,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,HARD CLEAR,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
5th style,Real,DRUM'N'BASS,Aya,3,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,1834,914,6,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-13 12:33
5th style,Regulus,INSTRUMENTAL,DJ.W,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1736,860,16,2,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-03-07 12:38
5th style,RIDE ON THE LIGHT (HI GREAT MIX),POWER FUSION,Mr.T,19,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,HARD CLEAR,---,8,1722,860,2,0,FULLCOMBO CLEAR,AAA,10,1852,921,10,0,FULLCOMBO CLEAR,AAA,2024-07-24 18:33
5th style,RISLIM,NEW ROMANTIC,ric,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
5th style,sometime,SOUND TRACK,Aya,2,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,1332,662,8,2,EASY CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-10 11:50
5th style,Spin the disc,HOUSE,good-cool,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
5th style,STILL IN MY HEART,HYPER EUROBEAT,NAOKI,11,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,9,1931,960,11,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-27 21:24
5th style,still my words,AMBIENT,TaQ feat. Meg,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
5th style,sync,TRANCE,OutPhase (TaQ/dj TAKA),2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,10,2399,1196,7,1,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-21 20:12
5th style,THE CUBE,DRUM'N'BASS,DJ SUWAMI,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,HARD CLEAR,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
5th style,THE SHINING POLARIS,EPIC TRANCE,L.E.D. feat. Sana,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,EASY CLEAR,---,8,1591,792,7,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-07-27 15:10
5th style,V,PROGRESSIVE,TAKA,14,2,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,12,3022,1503,16,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2023-12-08 22:56
6th style,19，November,HOUSE,good-cool,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,1815,905,5,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-07-26 14:48
6th style,BALLAD FOR YOU～想いの雨～,BALLAD,NM feat.Thomas Howard,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
6th style,Blueberry Stream,HOUSE,dj TAKA,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,1671,825,21,1,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-10 10:43
6th style,Buffalo,ROCK,good-cool feat. Hideo Suwa,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2023-10-18 20:36
6th style,Colors (radio edit),TRANCE,dj TAKA,6,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,12,2457,1204,49,1,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2023-12-30 22:51
6th style,DIVE ～INTO YOUR HEART～,HYPER TRANCE EURO BEAT,NAOKI feat.PAULA TERRY,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,10,2119,1053,13,1,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-01-15 21:33
6th style,fly through the night,TRANCE,Mr.T,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,8,1722,859,4,2,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-02-09 23:22
6th style,Free Style,DANCE POP,Shapes,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
6th style,Frozen Ray (original mix),TRANCE,dj TAKA,5,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,9,1812,903,6,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-07-20 20:23
6th style,G2,DRUM'N'BASS,Aya,2,0,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2350,1163,24,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-05-10 17:51
6th style,L'amour et la liberte,TRANCE,NAOKI underground,3,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2022,998,26,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-05-30 12:56
6th style,Linus,LOUNGE POP,LEGO STUDIO,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
6th style,NEMESIS,TECHNO,D.J.SETUP,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
6th style,rottel-da-sun,ROTTERDAM TECHNO,sampling masters MEGA,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
6th style,route 80s,NOISY,sampling masters MEGA,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-18 20:36
6th style,SOMETHING WONDERFUL,EPIC TRANCE,L.E.D.,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1997,994,9,1,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2024-06-21 20:18
